Équipes;Matchs joués;Matchs Gagnés;Matchs perdus;Matchs nuls;Buts mis;Buts encaissés;Différence de buts;Points;5 derniers matchs(Gagnés);5 derniers matchs(Perdus);5derniers matchs(Nuls)
Paris SG;27;22;2;3;75;24;51;68;4;0;1
OM;28;16;8;4;41;29;12;56;3;1;1
Rennes;28;15;5;8;38;24;14;50;4;1;0
Lille;28;15;4;9;35;27;8;49;2;1;2
Reims;28;10;11;7;26;21;5;41;2;1;2
Nice;28;11;8;9;41;38;3;41;2;1;2
OL;28;11;7;10;42;27;15;40;2;2;1
Montpellier;28;11;7;10;35;34;1;40;2;3;0
Monaco;28;11;7;10;44;44;0;40;2;1;2
Angers;28;11;6;11;28;33;-5;39;3;2;0
Strasbourg;27;11;5;11;32;32;0;38;2;1;2
Bordeaux;28;9;10;9;40;34;6;37;1;1;3
Nantes;28;11;4;13;28;31;-3;37;1;2;2
Brest;28;8;10;10;34;37;-3;34;1;2;2
Metz;28;8;10;10;27;35;-8;34;1;2;2
Dijon;28;8;6;14;29;45;10;30;1;1;3
ASSE;28;8;6;14;29;45;-16;30;0;2;3
Nimes;28;7;6;15;29;44;-15;27;2;3;0
Amiens;28;4;11;13;31;50;-19;23;0;2;3
Toulouse;28;3;4;21;22;58;-36;13;0;5;0
